date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-19 13:04:34,MH00210202,10202,"WILLIS, Francis",2,House,(GA-03),Georgia,GA,3,4000,-0.134,0.781,0.747,11,87,-25.32859
2016-10-19 13:04:34,MH00210193,10193,"WILLIAMSON, Hugh",2,House,(NC-04),North Carolina,NC,4,4000,0.017,-0.204,0.673,17,84,-33.26683
2016-10-19 13:04:34,MH00210006,10006,"WHITE, Alexander",2,House,(VA-01),Virginia,VA,1,5000,0.1,0.002,0.663,17,93,-38.2145
2016-10-19 13:04:34,MH00209885,9885,"WAYNE, Anthony",2,House,(GA-01),Georgia,GA,1,4000,0.119,0.993,0.75,3,29,-8.3605
2016-10-19 13:04:34,MH00209808,9808,"WARD, Artemas",2,House,(MA-07),Massachusetts,MA,7,5000,0.829,-0.559,0.774,13,87,-22.2843
2016-10-19 13:04:34,MH00209706,9706,"WADSWORTH, Jeremiah",2,House,(CT-00),Connecticut,CT,98,5000,0.74,0.197,0.814,5,77,-15.88535
2016-10-19 13:04:34,MH00209676,9676,"VINING, John",2,House,(DE-01),Delaware,DE,1,5000,0.434,-0.263,0.567,12,39,-22.10575
2016-10-19 13:04:34,MH00209658,9658,"VENABLE, Abraham Bedford",2,House,(VA-06),Virginia,VA,6,4000,-0.245,0.073,0.835,7,87,-15.71055
2016-10-19 13:04:34,MH00209501,9501,"TUCKER, Thomas Tudor",2,House,(SC-05),South Carolina,SC,5,4000,0.188,0.495,0.591,26,92,-48.40765
2016-10-19 13:04:34,MH00209489,9489,"TRUMBULL, Jonathan, Jr.",2,House,(CT-00),Connecticut,CT,98,5000,0.694,0.239,0.75,11,106,-30.43984
2016-10-19 13:04:34,MH00209463,9463,"TREDWELL, Thomas",2,House,(NY-01),New York,NY,1,4000,-0.164,-0.987,0.729,12,90,-28.38702
2016-10-19 13:04:34,MH00209268,9268,"THACHER, George",2,House,(MA-08),Massachusetts,MA,8,5000,0.836,0.498,0.64,23,96,-42.80481
